CIK,Company Name,SIC,Industry,State Location,State Inc,Filling Date,URL
0000320193,Apple Inc. ,3571,ELECTRONIC COMPUTERS,CA,CA,2021-10-29,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm
0000789019,MICROSOFT CORP ,7372,SERVICES,WA,WA,2021-07-29,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm
0001652044,Alphabet Inc. ,7370,SERVICES,CA,DE,2022-02-02,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/goog-20211231.htm
0001652044,Alphabet Inc. ,7370,SERVICES,CA,DE,2021-02-03,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000010/goog-20201231.htm
0001018724,AMAZON COM INC ,5961,RETAIL,WA,DE,2022-02-04,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/amzn-20211231.htm
0001018724,AMAZON COM INC ,5961,RETAIL,WA,DE,2021-02-03,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/amzn-20201231.htm
0001318605,"Tesla, Inc. ",3711,MOTOR VEHICLES & PASSENGER CAR BODIES,CA,DE,2022-02-07,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/tsla-20211231.htm
0001318605,"Tesla, Inc. ",3711,MOTOR VEHICLES & PASSENGER CAR BODIES,CA,DE,2021-02-08,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/tsla-10k_20201231.htm
0001067983,BERKSHIRE HATHAWAY INC ,6331,FIRE,NE,DE,2022-02-28,https://www.sec.gov/Archives/edgar/data/1067983/000156459022007322/brka-10k_20211231.htm
0001067983,BERKSHIRE HATHAWAY INC ,6331,FIRE,NE,DE,2021-03-01,https://www.sec.gov/Archives/edgar/data/1067983/000156459021009611/brka-10k_20201231.htm
0001326801,"Meta Platforms, Inc. ",7370,SERVICES,CA,DE,2022-02-03,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/fb-20211231.htm
0001326801,"Meta Platforms, Inc. ",7370,SERVICES,CA,DE,2021-01-28,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000014/fb-20201231.htm
0000731766,UNITEDHEALTH GROUP INC ,6324,HOSPITAL & MEDICAL SERVICE PLANS,MN,DE,2022-02-15,https://www.sec.gov/Archives/edgar/data/731766/000073176622000008/unh-20211231.htm
0000731766,UNITEDHEALTH GROUP INC ,6324,HOSPITAL & MEDICAL SERVICE PLANS,MN,DE,2021-03-01,https://www.sec.gov/Archives/edgar/data/731766/000073176621000013/unh-20201231.htm
0000200406,JOHNSON & JOHNSON ,2834,PHARMACEUTICAL PREPARATIONS,NJ,NJ,2022-02-17,https://www.sec.gov/Archives/edgar/data/200406/000020040622000022/jnj-20220102.htm
0000200406,JOHNSON & JOHNSON ,2834,PHARMACEUTICAL PREPARATIONS,NJ,NJ,2021-02-22,https://www.sec.gov/Archives/edgar/data/200406/000020040621000008/jnj-20210103.htm
0001045810,NVIDIA CORP ,3674,SEMICONDUCTORS & RELATED DEVICES,CA,DE,2022-03-18,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/nvda-20220130.htm
