,fullTimeEmployees,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,revenuePerShare,quickRatio,recommendationMean,enterpriseToRevenue,enterpriseToEbitda,heldPercentInstitutions,priceToBook,beta,enterpriseValue,priceToSalesTrailing12Months,pegRatio,ticker
1,181000,0.49327,0.37627998,0.6873,87115997184,0.184,0.42556,94982995968,298.18,115856000000,48917000192,360,270.02,0.094,1.988,0.15674,46,362.95,47.863,0.48721,425.96,104660000768,77980999680,192557006848,13.994,25.642,1.773,1.7,10.64,21.571,0.72099,13.33959,0.908333,2048902299648,10.528335,1.69,MSFT
1,163906,0.35452998,0.27573,0.56929,97468997632,0.23,0.3047,95841001472,2658,146698000000,52881248256,3300,2290.82,-0.063,2.871,0.15049,45,3303.83,11.26,0.308,4533.34,133970001920,28601999360,270334001152,203.447,406.892,2.738,1.7,5.169,14.581,0.79853994,6.225968,1.060784,1397453881344,5.625074,1.19,GOOGL
1,163906,0.35452998,0.27573,0.56929,97468997632,0.23,0.3047,95841001472,2950,146698000000,52881248256,3150,2291.28,-0.063,2.871,0.15049,9,3168.89,11.26,0.308,3600,133970001920,28601999360,270334001152,203.447,406.892,2.738,1.5,5.211,14.699,0.6607,6.227218,1.060784,1408740491264,5.625542,1.19,GOOG
1,1622000,0.116059996,0.04482,0.42137,39324000256,0.073,0.041199997,55449001984,2250,197478000000,18005624832,3700,2447,,0.96,0.03353,53,3680.85,84.542,0.18045999,4655,66384998400,113286995968,477748002816,130.54,941.839,0.709,1.7,2.744,23.642,0.60518,10.290203,1.119607,1310944919552,2.5975852,3.31,AMZN
1,99290,0.20424,0.13505,0.27096,13850999808,0.805,0.1549,12702000128,67,13606000000,7054624768,1104,703.55,6.315,1.354,0.10118,40,985.6,19.841,0.28261,1620,18012999680,7024999936,62189998080,17.387,61.927,0.953,2.5,14.35,70.261,0.43125,26.110596,2.079411,892448997376,11.361105,1.49,TSLA
1,372000,0.45485002,0.32523,0.41603002,39421001728,0.115,0.41603002,125581000704,351,114863000000,61698875392,362,310.94,0.16,4.051,0.07835,2,362,23.159,0.18795,373,146718998528,119253000192,276093992960,49696.66,182821.92,3.626,2.8,-0.064,-0.142,0.67758006,0.0009828969,0.857843,-17781911552,2.5218897,1.03,BRK-B
1,77805,0.43495998,0.31202,0.80343,59517001728,0.066,0.36685002,52050001920,185,95280000000,31664875520,300,190.78,-0.176,2.811,0.16743,54,301.33,11.895,0.2907,553,43889999872,14657999872,119665999872,16.218,42.976,2.622,2,4.289,9.862,0.77806,3.99556,1.394117,513304657920,4.4348783,2.12,FB
1,350000,0.088690005,0.05864,0.23885,21656999936,0.142,0.08127,26390999040,360,69652000000,17170124800,588,485.61,0.037,0.783,0.070879996,23,567.21,61.165,0.24154,632,28395999232,47493001216,297549987840,29.765,315.787,0.536,1.8,1.7,19.165,0.89621,6.509081,0.87745,505772703744,1.5371274,1.51,UNH
1,144000,0.3416,0.20899999,0.68064004,23314999296,0.05,0.26503,32411000832,173,64020000000,19812999168,190,176.42,-0.168,1.393,0.08957,19,191.42,44.369,0.28219,215,30388000768,33148000256,94879997952,11.548,36.055,1.06,2.3,5.034,14.736,0.70428,6.608976,0.719607,477622763520,4.89506,3.17,JNJ
1,22473,0.41669998,0.36234,0.64929,9107999744,0.528,0.37308,11214999552,160,17475000000,6468125184,350,187.2,1.034,6.65,0.17198999,44,326.46,44.457,0.44832,400,21208000512,11831000064,26914000896,8.463,10.783,5.965,2,16.921,40.607,0.65873003,19.680403,1.423039,455410810880,17.333075,0.93,NVDA
1,2300000,0.0639,0.02387,0.25099,24181000192,0.005,0.045289997,36600000512,140,143754000000,14521499648,167,125.32,,0.928,0.0652,36,166.47,63.573,0.15539,190,14759999488,58417999872,572753969152,5.364,205.141,0.264,2,0.826,12.931,0.32609,4.231497,0.55098,473290768384,0.60693187,2.29,WMT
1,101000,0.26957,0.18332,0.48488998,17130999808,0.07,0.23447001,21462999040,124,39144000000,10515874816,175,145.89,0.051,0.681,0.09846,23,166.67,73.6,0.31604,185,8526000128,33668999168,79617998848,3.554,32.886,0.408,2.4,5.168,19.171,0.65633005,7.801604,0.442647,411464105984,4.434255,4.28,PG
1,63000,0.17427,0.08339,0.31806,53653000192,0.525,0.10859,53895000064,66,90045000000,31484874752,94.5,99.09,1.003,1.072,0.06097,26,95.7,26.929,0.1559,166,11073999872,47537000448,309269004288,2.629,72.278,0.739,2.5,1.303,7.476,0.56797004,2.612306,1.156862,402932236288,1.3651247,0.45,XOM
1,273948,0,0.342,0,,-0.197,0.42387,,120,130898000000,,152,130.16,-0.416,,0.01107,27,157.32,,0.14936,200,1567935037440,642630025216,123730001920,533.838,41.279,,2.4,-4.38,,0.71735,1.5072665,1.094117,-541894737920,3.1857166,1.48,JPM
1,273948,0,0.342,0,,-0.197,0.42387,,,130898000000,,,25.86,-0.416,,0.01107,,,,0.14936,,1567935037440,642630025216,123730001920,533.838,41.279,,,-6.618,,0.18575001,0.2994615,1.094117,-818892636160,2.7416658,,JPM-PC
1,273948,0,0.342,0,,-0.197,0.42387,,,130898000000,,,25.16,-0.416,,0.01107,,,,0.14936,,1567935037440,642630025216,123730001920,533.838,41.279,,,-6.63,,0.21490999,0.29135543,1.094117,-820361166848,2.7015736,,JPM-PD
