CIK,Ticker,Company Name,SIC,Industry,State Location,State Inc,Filling Date,URL,digital asset,cryptocurrency,cryptocurrencies,digital holdings,bitcoin,ethereum,digital asset_table,cryptocurrency_table,cryptocurrencies_table,digital holdings_table,bitcoin_table,ethereum_table
0000320193,AAPL,Apple Inc. ,3571,ELECTRONIC COMPUTERS,CA,CA,2021-10-29,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000789019,MSFT,MICROSOFT CORP ,7372,SERVICES,WA,WA,2021-07-29,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001652044,GOOGL,Alphabet Inc. ,7370,SERVICES,CA,DE,2022-02-02,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/goog-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001652044,GOOGL,Alphabet Inc. ,7370,SERVICES,CA,DE,2021-02-03,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000010/goog-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001018724,AMZN,AMAZON COM INC ,5961,RETAIL,WA,DE,2022-02-04,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/amzn-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001018724,AMZN,AMAZON COM INC ,5961,RETAIL,WA,DE,2021-02-03,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/amzn-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001318605,TSLA,"Tesla, Inc. ",3711,MOTOR VEHICLES & PASSENGER CAR BODIES,CA,DE,2022-02-07,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/tsla-20211231.htm,49,0,0,0,12,0,4,0,0,0,0,0
0001318605,TSLA,"Tesla, Inc. ",3711,MOTOR VEHICLES & PASSENGER CAR BODIES,CA,DE,2021-02-08,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/tsla-10k_20201231.htm,17,0,0,0,9,0,0,0,0,0,0,0
0001067983,BRK-B,BERKSHIRE HATHAWAY INC ,6331,FIRE,NE,DE,2022-02-28,https://www.sec.gov/Archives/edgar/data/1067983/000156459022007322/brka-10k_20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001067983,BRK-B,BERKSHIRE HATHAWAY INC ,6331,FIRE,NE,DE,2021-03-01,https://www.sec.gov/Archives/edgar/data/1067983/000156459021009611/brka-10k_20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001326801,FB,"Meta Platforms, Inc. ",7370,SERVICES,CA,DE,2022-02-03,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/fb-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001326801,FB,"Meta Platforms, Inc. ",7370,SERVICES,CA,DE,2021-01-28,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000014/fb-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000731766,UNH,UNITEDHEALTH GROUP INC ,6324,HOSPITAL & MEDICAL SERVICE PLANS,MN,DE,2022-02-15,https://www.sec.gov/Archives/edgar/data/731766/000073176622000008/unh-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000731766,UNH,UNITEDHEALTH GROUP INC ,6324,HOSPITAL & MEDICAL SERVICE PLANS,MN,DE,2021-03-01,https://www.sec.gov/Archives/edgar/data/731766/000073176621000013/unh-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000200406,JNJ,JOHNSON & JOHNSON ,2834,PHARMACEUTICAL PREPARATIONS,NJ,NJ,2022-02-17,https://www.sec.gov/Archives/edgar/data/200406/000020040622000022/jnj-20220102.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000200406,JNJ,JOHNSON & JOHNSON ,2834,PHARMACEUTICAL PREPARATIONS,NJ,NJ,2021-02-22,https://www.sec.gov/Archives/edgar/data/200406/000020040621000008/jnj-20210103.htm,0,0,0,0,0,0,0,0,0,0,0,0
0001045810,NVDA,NVIDIA CORP ,3674,SEMICONDUCTORS & RELATED DEVICES,CA,DE,2022-03-18,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/nvda-20220130.htm,0,28,3,0,0,8,0,0,0,0,0,0
0001045810,NVDA,NVIDIA CORP ,3674,SEMICONDUCTORS & RELATED DEVICES,CA,DE,2021-02-26,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/nvda-20210131.htm,0,11,3,0,0,2,0,0,0,0,0,0
0000104169,WMT,Walmart Inc. ,5331,RETAIL,AR,DE,2022-03-18,https://www.sec.gov/Archives/edgar/data/104169/000010416922000012/wmt-20220131.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000104169,WMT,Walmart Inc. ,5331,RETAIL,AR,DE,2021-03-19,https://www.sec.gov/Archives/edgar/data/104169/000010416921000033/wmt-20210131.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000080424,PG,PROCTER & GAMBLE Co ,2840,SOAP,OH,OH,2021-08-06,https://www.sec.gov/Archives/edgar/data/80424/000008042421000100/pg-20210630.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000034088,XOM,EXXON MOBIL CORP ,2911,PETROLEUM REFINING,TX,NJ,2022-02-23,https://www.sec.gov/Archives/edgar/data/34088/000003408822000011/xom-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000034088,XOM,EXXON MOBIL CORP ,2911,PETROLEUM REFINING,TX,NJ,2021-02-24,https://www.sec.gov/Archives/edgar/data/34088/000003408821000012/xom-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000019617,JPM,JPMORGAN CHASE & CO ,6021,NATIONAL COMMERCIAL BANKS,NY,DE,2022-02-22,https://www.sec.gov/Archives/edgar/data/19617/000001961722000272/jpm-20211231.htm,0,1,1,0,0,0,0,0,0,0,0,0
0000019617,JPM,JPMORGAN CHASE & CO ,6021,NATIONAL COMMERCIAL BANKS,NY,DE,2021-02-23,https://www.sec.gov/Archives/edgar/data/19617/000001961721000236/jpm-20201231.htm,0,0,1,0,0,0,0,0,0,0,0,0
0001141391,MA,Mastercard Inc ,7389,SERVICES,NY,DE,2022-02-11,https://www.sec.gov/Archives/edgar/data/1141391/000114139122000023/ma-20211231.htm,3,1,3,0,0,0,0,0,0,0,0,0
0001141391,MA,Mastercard Inc ,7389,SERVICES,NY,DE,2021-02-12,https://www.sec.gov/Archives/edgar/data/1141391/000114139121000018/ma-20201231.htm,3,2,2,0,0,0,0,0,0,0,0,0
0000354950,HD,"HOME DEPOT, INC. ",5211,RETAIL,GA,DE,2022-03-23,https://www.sec.gov/Archives/edgar/data/354950/000035495022000070/hd-20220130.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000354950,HD,"HOME DEPOT, INC. ",5211,RETAIL,GA,DE,2021-03-24,https://www.sec.gov/Archives/edgar/data/354950/000035495021000089/hd-20210131.htm,1,0,0,0,0,0,0,0,0,0,0,0
0000093410,CVX,CHEVRON CORP ,2911,PETROLEUM REFINING,CA,DE,2022-02-24,https://www.sec.gov/Archives/edgar/data/93410/000009341022000019/cvx-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000093410,CVX,CHEVRON CORP ,2911,PETROLEUM REFINING,CA,DE,2021-02-25,https://www.sec.gov/Archives/edgar/data/93410/000009341021000009/cvx-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000070858,BAC,BANK OF AMERICA CORP /DE/ ,6021,NATIONAL COMMERCIAL BANKS,NC,DE,2022-02-22,https://www.sec.gov/Archives/edgar/data/70858/000007085822000062/bac-20211231.htm,0,0,1,0,0,0,0,0,0,0,0,0
0000070858,BAC,BANK OF AMERICA CORP /DE/ ,6021,NATIONAL COMMERCIAL BANKS,NC,DE,2021-02-24,https://www.sec.gov/Archives/edgar/data/70858/000007085821000023/bac-20201231.htm,0,0,2,0,0,0,0,0,0,0,0,0
0000059478,LLY,ELI LILLY & Co ,2834,PHARMACEUTICAL PREPARATIONS,IN,IN,2022-02-23,https://www.sec.gov/Archives/edgar/data/59478/000005947822000068/lly-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000059478,LLY,ELI LILLY & Co ,2834,PHARMACEUTICAL PREPARATIONS,IN,IN,2021-02-17,https://www.sec.gov/Archives/edgar/data/59478/000005947821000083/lly-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000021344,KO,COCA COLA CO ,2080,BEVERAGES,GA,DE,2022-02-22,https://www.sec.gov/Archives/edgar/data/21344/000002134422000009/ko-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000021344,KO,COCA COLA CO ,2080,BEVERAGES,GA,DE,2021-02-25,https://www.sec.gov/Archives/edgar/data/21344/000002134421000008/ko-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000078003,PFE,PFIZER INC ,2834,PHARMACEUTICAL PREPARATIONS,NY,DE,2022-02-24,https://www.sec.gov/Archives/edgar/data/78003/000007800322000027/pfe-20211231.htm,0,0,0,0,0,0,0,0,0,0,0,0
0000078003,PFE,PFIZER INC ,2834,PHARMACEUTICAL PREPARATIONS,NY,DE,2021-02-25,https://www.sec.gov/Archives/edgar/data/78003/000007800321000038/pfe-20201231.htm,0,0,0,0,0,0,0,0,0,0,0,0
