CIK,Company Name,SIC,Industry,State Location,State Inc,Filling Date,URL,digital asset,cryptocurrency,cryptocurrencies,digital holdings,bitcoin,ethereum,ticker,Pred_Proba
356590,"GLOBAL TECH INDUSTRIES GROUP, INC. ",8741,SERVICES,NY,NV,2022-04-15,https://www.sec.gov/Archives/edgar/data/356590/000149315222010063/form10-k.htm,2,2,0,0,6,2,GTII,0.90401787
1807846,MONEYLION INC. ,6199,FINANCE SERVICES,NY,DE,2022-03-17,https://www.sec.gov/Archives/edgar/data/1807846/000121390022013301/f10k2021_moneylioninc.htm,19,19,4,0,11,0,ML,0.90401787
1094831,"BGC Partners, Inc. ",6200,SECURITY & COMMODITY BROKERS,NY,DE,2022-02-28,https://www.sec.gov/Archives/edgar/data/1094831/000162828022004275/bgcp-20211231.htm,4,20,8,0,1,0,BGCP,0.90401787
913760,StoneX Group Inc. ,6200,SECURITY & COMMODITY BROKERS,NY,DE,2021-11-29,https://www.sec.gov/Archives/edgar/data/913760/000091376021000189/intl-20210930.htm,0,2,13,0,3,0,SNEX,0.90401787
1130713,"OVERSTOCK.COM, INC ",5961,RETAIL,UT,DE,2022-02-25,https://www.sec.gov/Archives/edgar/data/1130713/000113071322000009/ostk-20211231.htm,0,4,11,0,9,2,OSTK,0.90401787
1717556,"Vinco Ventures, Inc. ",3944,GAMES,PA,NV,2022-04-15,https://www.sec.gov/Archives/edgar/data/1717556/000149315222010110/form10-k.htm,8,3,7,0,7,0,BBIG,0.90401787
1273931,MONEYGRAM INTERNATIONAL INC ,7389,SERVICES,TX,DE,2022-02-25,https://www.sec.gov/Archives/edgar/data/1273931/000127393122000039/mgi-20211231.htm,7,4,0,0,1,0,MGI,0.90401787
1818874,"SoFi Technologies, Inc. ",6199,FINANCE SERVICES,CA,DE,2022-03-01,https://www.sec.gov/Archives/edgar/data/1818874/000181887422000031/sofi-20211231.htm,62,2,0,0,2,0,SOFI,0.90401787
1816431,Quantum-Si Inc ,3829,MEASURING & CONTROLLING DEVICES,CT,DE,2022-03-01,https://www.sec.gov/Archives/edgar/data/1816431/000114036122007334/brhc10034564_10k.htm,0,0,0,0,1,0,QSI,0.8480922
1752474,KLDiscovery Inc. ,7370,SERVICES,VA,DE,2022-03-17,https://www.sec.gov/Archives/edgar/data/1752474/000156459022010868/kld-10k_20211231.htm,0,0,1,0,1,0,KLDI,0.84184396
1778784,"Provident Bancorp, Inc. /MD/ ",6036,SAVINGS INSTITUTIONS,MA,MD,2022-03-24,https://www.sec.gov/Archives/edgar/data/1778784/000177878422000008/pvbc-20211231x10k.htm,14,0,0,0,1,0,PVBC,0.824844
1004702,OCEANFIRST FINANCIAL CORP ,6035,SAVINGS INSTITUTION,NJ,DE,2022-02-28,https://www.sec.gov/Archives/edgar/data/1004702/000100470222000022/ocfc-20211231.htm,0,2,0,0,0,0,OCFCP,0.79494065
1591588,"A-Mark Precious Metals, Inc. ",5094,WHOLESALE,CA,DE,2021-09-13,https://www.sec.gov/Archives/edgar/data/1591588/000156459021047760/amrk-10k_20210630.htm,0,2,2,0,0,0,AMRK,0.79494065
805676,PARK NATIONAL CORP /OH/ ,6021,NATIONAL COMMERCIAL BANKS,OH,OH,2022-02-24,https://www.sec.gov/Archives/edgar/data/805676/000080567622000034/prk-20211231.htm,0,3,1,0,0,0,PRK,0.79494065
1004702,OCEANFIRST FINANCIAL CORP ,6035,SAVINGS INSTITUTION,NJ,DE,2022-02-28,https://www.sec.gov/Archives/edgar/data/1004702/000100470222000022/ocfc-20211231.htm,0,2,0,0,0,0,OCFC,0.79494065
2488,ADVANCED MICRO DEVICES INC ,3674,SEMICONDUCTORS & RELATED DEVICES,CA,DE,2022-02-03,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/amd-20211225.htm,0,5,1,0,0,0,AMD,0.79350996
1058811,IMMERSION CORP ,3577,COMPUTER PERIPHERAL EQUIPMENT,FL,DE,2022-02-25,https://www.sec.gov/Archives/edgar/data/1058811/000162828022004000/immr-20211231.htm,0,1,6,0,7,0,IMMR,0.76423883
1057877,IDACORP INC ,4911,ELECTRIC SERVICES,ID,ID,2022-02-17,https://www.sec.gov/Archives/edgar/data/49648/000105787722000014/ida-20211231.htm,0,2,0,0,0,0,IDA,0.7611406
919864,Finward Bancorp ,6035,SAVINGS INSTITUTION,IN,IN,2022-03-30,https://www.sec.gov/Archives/edgar/data/919864/000143774922007690/fnwd20211231_10k.htm,0,0,1,0,1,0,FNWD,0.73178923
