Time,Incident,Totoal Number of Incidents
00:00:00,OTHER OFFENSES,18911
00:00:00,NON-CRIMINAL,10795
00:00:00,DRUNKENNESS,830
00:00:00,DRUG/NARCOTIC,3775
00:00:00,SUICIDE,46
00:00:00,BRIBERY,44
00:00:00,VEHICLE THEFT,4769
00:00:00,EMBEZZLEMENT,642
00:00:00,EXTORTION,86
00:00:00,ASSAULT,10855
00:00:00,SUSPICIOUS OCC,5188
00:00:00,WARRANTS,4055
00:00:00,STOLEN PROPERTY,560
00:00:00,BAD CHECKS,162
00:00:00,LOITERING,78
00:00:00,GAMBLING,22
00:00:00,PORNOGRAPHY/OBSCENE MAT,5
00:00:00,LARCENY/THEFT,19117
00:00:00,"SEX OFFENSES, FORCIBLE",1473
00:00:00,DRIVING UNDER THE INFLUENCE,716
00:00:00,TRESPASS,575
00:00:00,RECOVERED VEHICLE,359
00:00:00,FORGERY/COUNTERFEITING,3600
00:00:00,FAMILY OFFENSES,67
00:00:00,MISSING PERSON,2210
00:00:00,"SEX OFFENSES, NON FORCIBLE",82
00:00:00,PROSTITUTION,1377
00:00:00,BURGLARY,3496
00:00:00,KIDNAPPING,331
00:00:00,ARSON,257
00:00:00,DISORDERLY CONDUCT,525
00:00:00,VANDALISM,6534
00:00:00,LIQUOR LAWS,195
00:00:00,FRAUD,5587
00:00:00,ROBBERY,2988
00:00:00,WEAPON LAWS,1154
00:00:00,RUNAWAY,123
00:00:00,SECONDARY CODES,1507
01:00:00,DRIVING UNDER THE INFLUENCE,652
01:00:00,BRIBERY,26
01:00:00,FAMILY OFFENSES,25
01:00:00,EXTORTION,11
01:00:00,LARCENY/THEFT,11789
01:00:00,VANDALISM,4562
01:00:00,ROBBERY,3064
01:00:00,MISSING PERSON,962
01:00:00,"SEX OFFENSES, FORCIBLE",586
01:00:00,SUICIDE,43
01:00:00,"SEX OFFENSES, NON FORCIBLE",7
01:00:00,ARSON,244
01:00:00,ASSAULT,9256
01:00:00,VEHICLE THEFT,3255
01:00:00,BURGLARY,2267
01:00:00,RUNAWAY,55
01:00:00,NON-CRIMINAL,5862
01:00:00,WARRANTS,2771
01:00:00,SECONDARY CODES,843
01:00:00,DRUNKENNESS,785
01:00:00,STOLEN PROPERTY,394
01:00:00,DISORDERLY CONDUCT,385
01:00:00,KIDNAPPING,258
01:00:00,LIQUOR LAWS,97
01:00:00,BAD CHECKS,3
01:00:00,OTHER OFFENSES,8840
01:00:00,PROSTITUTION,1068
01:00:00,SUSPICIOUS OCC,2214
01:00:00,TRESPASS,402
01:00:00,WEAPON LAWS,851
01:00:00,RECOVERED VEHICLE,260
01:00:00,DRUG/NARCOTIC,2303
01:00:00,LOITERING,62
01:00:00,FORGERY/COUNTERFEITING,204
01:00:00,FRAUD,763
01:00:00,GAMBLING,1
01:00:00,EMBEZZLEMENT,12
02:00:00,PROSTITUTION,795
02:00:00,"SEX OFFENSES, FORCIBLE",606
02:00:00,GAMBLING,2
02:00:00,ASSAULT,8389
02:00:00,RUNAWAY,42
02:00:00,BURGLARY,2443
02:00:00,TREA,2
02:00:00,NON-CRIMINAL,4570
02:00:00,DRUG/NARCOTIC,1858
02:00:00,WARRANTS,2310
02:00:00,DRUNKENNESS,664
02:00:00,DISORDERLY CONDUCT,345
02:00:00,STOLEN PROPERTY,330
02:00:00,KIDNAPPING,259
02:00:00,LOITERING,44
02:00:00,SUICIDE,31
02:00:00,BRIBERY,27
02:00:00,EMBEZZLEMENT,8
02:00:00,"SEX OFFENSES, NON FORCIBLE",2
02:00:00,ROBBERY,3196
02:00:00,MISSING PERSON,805
02:00:00,WEAPON LAWS,759
02:00:00,ARSON,264
02:00:00,FORGERY/COUNTERFEITING,130
02:00:00,EXTORTION,15
02:00:00,PORNOGRAPHY/OBSCENE MAT,3
02:00:00,LARCENY/THEFT,7679
02:00:00,VANDALISM,4303
02:00:00,VEHICLE THEFT,2577
02:00:00,DRIVING UNDER THE INFLUENCE,655
02:00:00,TRESPASS,453
02:00:00,LIQUOR LAWS,90
02:00:00,FAMILY OFFENSES,23
02:00:00,OTHER OFFENSES,7333
02:00:00,BAD CHECKS,2
02:00:00,RECOVERED VEHICLE,218
02:00:00,SUSPICIOUS OCC,2025
02:00:00,FRAUD,513
02:00:00,SECONDARY CODES,780
03:00:00,VEHICLE THEFT,1603
03:00:00,DRUG/NARCOTIC,1260
03:00:00,WEAPON LAWS,470
03:00:00,RECOVERED VEHICLE,201
03:00:00,FORGERY/COUNTERFEITING,102
03:00:00,LARCENY/THEFT,4825
03:00:00,BURGLARY,2517
03:00:00,WARRANTS,1787
03:00:00,KIDNAPPING,179
03:00:00,PORNOGRAPHY/OBSCENE MAT,2
03:00:00,GAMBLING,2
03:00:00,VANDALISM,2898
03:00:00,ROBBERY,1923
03:00:00,SECONDARY CODES,561
03:00:00,LOITERING,36
03:00:00,SUICIDE,24
03:00:00,RUNAWAY,21
03:00:00,EMBEZZLEMENT,13
03:00:00,"SEX OFFENSES, NON FORCIBLE",3
03:00:00,BAD CHECKS,3
03:00:00,NON-CRIMINAL,3113
03:00:00,PROSTITUTION,547
03:00:00,TRESPASS,370
03:00:00,FRAUD,315
03:00:00,DRIVING UNDER THE INFLUENCE,290
03:00:00,DISORDERLY CONDUCT,216
03:00:00,LIQUOR LAWS,40
03:00:00,SUSPICIOUS OCC,1404
03:00:00,MISSING PERSON,478
03:00:00,DRUNKENNESS,259
03:00:00,STOLEN PROPERTY,256
03:00:00,BRIBERY,21
03:00:00,EXTORTION,8
03:00:00,"SEX OFFENSES, FORCIBLE",405
03:00:00,OTHER OFFENSES,4890
03:00:00,ARSON,262
03:00:00,FAMILY OFFENSES,9
03:00:00,ASSAULT,4283
04:00:00,ROBBERY,1246
04:00:00,PROSTITUTION,473
